perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Turismo Castilla y León es Vida;TWITTER;44321;12;95784;33;2018-04-22
Turismo Castilla y León es Vida;TWITTER;44191;12;95422;42;2018-04-14
Turismo Castilla y León es Vida;TWITTER;44145;14;95278;45;2018-04-11
Turismo Castilla y León es Vida;TWITTER;43841;17;94483;36;2018-03-24
Turismo Castilla y León es Vida;TWITTER;43716;12;94168;41;2018-03-17
Turismo Castilla y León es Vida;TWITTER;43670;8;94040;26;2018-03-14
Turismo Castilla y León es Vida;TWITTER;43539;15;93714;49;2018-03-06
Turismo Castilla y León es Vida;TWITTER;43451;15;93416;46;2018-02-28
Turismo Castilla y León es Vida;TWITTER;43421;14;93327;38;2018-02-26
Turismo Castilla y León es Vida;TWITTER;43350;16;93151;47;2018-02-21
Turismo Castilla y León es Vida;TWITTER;43136;14;92580;51;2018-02-06
Turismo Castilla y León es Vida;TWITTER;43107;11;92469;64;2018-02-04
Turismo Castilla y León es Vida;TWITTER;43063;14;92315;56;2018-02-01
Turismo Castilla y León es Vida;TWITTER;43034;16;92223;32;2018-01-30
Turismo Castilla y León es Vida;TWITTER;42829;18;91636;66;2018-01-17
Turismo Castilla y León es Vida;TWITTER;42433;14;90246;59;2017-12-21
Turismo Castilla y León es Vida;TWITTER;42351;11;90016;33;2017-12-16
Turismo Castilla y León es Vida;TWITTER;42340;17;89983;48;2017-12-15
Turismo Castilla y León es Vida;TWITTER;42231;16;89549;48;2017-12-07
Turismo Castilla y León es Vida;TWITTER;42167;14;89330;70;2017-12-03
Turismo Castilla y León es Vida;TWITTER;41883;15;88362;67;2017-11-18
Turismo Castilla y León es Vida;TWITTER;41530;13;87077;74;2017-10-28
Turismo Castilla y León es Vida;TWITTER;41434;14;86596;66;2017-10-22
Turismo Castilla y León es Vida;TWITTER;41328;19;86210;150;2017-10-16
Turismo Castilla y León es Vida;TWITTER;41286;14;85931;61;2017-10-13
Turismo Castilla y León es Vida;TWITTER;41099;13;85247;59;2017-09-30
Turismo Castilla y León es Vida;TWITTER;40973;17;84886;35;2017-09-22
Turismo Castilla y León es Vida;TWITTER;40880;13;84668;64;2017-09-16
Turismo Castilla y León es Vida;TWITTER;40790;16;84421;61;2017-09-11
Turismo Castilla y León es Vida;TWITTER;40746;15;84258;37;2017-09-08
Turismo Castilla y León es Vida;TWITTER;40731;17;84221;56;2017-09-07
Turismo Castilla y León es Vida;TWITTER;40643;16;83942;29;2017-09-01
Turismo Castilla y León es Vida;TWITTER;40568;10;83716;69;2017-08-27
Turismo Castilla y León es Vida;TWITTER;40513;10;83381;49;2017-08-22
Turismo Castilla y León es Vida;TWITTER;40430;13;82746;80;2017-08-15
Turismo Castilla y León es Vida;TWITTER;40267;22;81755;49;2017-08-04
Turismo Castilla y León es Vida;TWITTER;40245;13;81706;97;2017-08-03
Turismo Castilla y León es Vida;TWITTER;40080;12;80410;97;2017-07-22
Turismo Castilla y León es Vida;TWITTER;40010;16;79954;101;2017-07-18
Turismo Castilla y León es Vida;TWITTER;39994;16;79853;102;2017-07-17
Turismo Castilla y León es Vida;TWITTER;39940;16;79479;131;2017-07-13
Turismo Castilla y León es Vida;TWITTER;39844;18;78849;95;2017-07-07
Turismo Castilla y León es Vida;TWITTER;39826;15;78754;82;2017-07-06
Turismo Castilla y León es Vida;TWITTER;39724;17;78133;111;2017-06-29
Turismo Castilla y León es Vida;TWITTER;39650;11;77750;66;2017-06-25
Turismo Castilla y León es Vida;TWITTER;39613;20;77538;130;2017-06-22
Turismo Castilla y León es Vida;TWITTER;39470;18;76791;43;2017-06-13
Turismo Castilla y León es Vida;TWITTER;39278;20;76404;118;2017-06-01
Turismo Castilla y León es Vida;TWITTER;39258;16;76286;88;2017-05-31
Turismo Castilla y León es Vida;TWITTER;39242;17;76198;105;2017-05-30
Turismo Castilla y León es Vida;TWITTER;38343;17;73637;62;2017-04-08
Turismo Castilla y León es Vida;TWITTER;38299;23;73482;22;2017-04-06
Turismo Castilla y León es Vida;TWITTER;38236;20;73343;81;2017-04-03
Turismo Castilla y León es Vida;TWITTER;38191;18;73105;-9;2017-03-31
Turismo Castilla y León es Vida;TWITTER;38116;19;72903;77;2017-03-27
